"Extracted:,""United Nations High Commissioner for Refugees"""
"Date extracted:,""22/11/2020 07:13"""
"Last updated:,""22/11/2020 07:13"""
Last Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data.

"Data table contains the following:,""Population figures"""
"Content type,""End year stock population totals"""
Data quick link,https://www.unhcr.org/refugee-statistics/download/?url=s1bN
Data definitions,https://www.unhcr.org/refugee-statistics-2/methodology/
Usage licence,https://creativecommons.org/licenses/by/4.0/
"Population types included,""REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"""
Years:
Origin:
Country of asylum::
"Year,""Country of origin"",""Country of origin (ISO)"",""Country of asylum"",""Country of asylum (ISO)"",""Refugees under UNHCR’s mandate"",Asylum-seekers,""IDPs of concern to UNHCR"",""Venezuelans displaced abroad"",""Stateless persons"",""Others of concern"""
2012,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
2012,Brazil,BRA,France,FRA,8,0,0,,0,0
"2012,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,9,16,0,,0,0"
2012,Brazil,BRA,Germany,DEU,163,5,0,,0,0
2012,Brazil,BRA,Ireland,IRL,5,13,0,,0,0
2012,Brazil,BRA,Italy,ITA,12,12,0,,0,0
2012,Brazil,BRA,Sweden,SWE,5,0,0,,0,0
2012,Brazil,BRA,Switzerland,CHE,6,0,0,,0,0
2012,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
"2012,Brazil,BRA,""United States of America"",USA,679,110,0,,0,0"
2013,Brazil,BRA,Australia,AUS,5,5,0,,0,0
2013,Brazil,BRA,Canada,CAN,177,25,0,,0,0
2013,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
2013,Brazil,BRA,Finland,FIN,0,5,0,,0,0
2013,Brazil,BRA,France,FRA,8,5,0,,0,0
"2013,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,12,21,0,,0,0"
2013,Brazil,BRA,Germany,DEU,66,10,0,,0,0
2013,Brazil,BRA,Ireland,IRL,5,15,0,,0,0
2013,Brazil,BRA,Italy,ITA,18,5,0,,0,0
2013,Brazil,BRA,Sweden,SWE,7,0,0,,0,0
2013,Brazil,BRA,Switzerland,CHE,10,0,0,,0,0
2013,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
"2013,Brazil,BRA,""United States of America"",USA,669,453,0,,0,0"
2014,Brazil,BRA,Australia,AUS,5,22,0,,0,0
2014,Brazil,BRA,Canada,CAN,172,5,0,,0,0
2014,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
2014,Brazil,BRA,Finland,FIN,5,5,0,,0,0
2014,Brazil,BRA,France,FRA,11,5,0,,0,0
"2014,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,13,15,0,,0,0"
2014,Brazil,BRA,Germany,DEU,58,16,0,,0,0
2014,Brazil,BRA,Ireland,IRL,5,10,0,,0,0
2014,Brazil,BRA,Italy,ITA,31,10,0,,0,0
2014,Brazil,BRA,Norway,NOR,0,5,0,,0,0
2014,Brazil,BRA,Sweden,SWE,7,5,0,,0,0
2014,Brazil,BRA,Switzerland,CHE,9,0,0,,0,0
"2014,Brazil,BRA,""United States of America"",USA,656,1090,0,,0,0"
2015,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
2015,Brazil,BRA,Australia,AUS,5,15,0,,0,0
2015,Brazil,BRA,Canada,CAN,124,30,0,,0,0
"2015,Brazil,BRA,""Costa Rica"",CRI,0,5,0,,0,0"
2015,Brazil,BRA,Ecuador,ECU,5,0,0,,0,0
2015,Brazil,BRA,Finland,FIN,5,5,0,,0,0
2015,Brazil,BRA,France,FRA,11,5,0,,0,0
"2015,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,14,19,0,,0,0"
2015,Brazil,BRA,Germany,DEU,35,10,0,,0,0
2015,Brazil,BRA,Ireland,IRL,5,5,0,,0,0
2015,Brazil,BRA,Italy,ITA,43,27,0,,0,0
2015,Brazil,BRA,Japan,JPN,0,5,0,,0,0
2015,Brazil,BRA,Spain,ESP,0,5,0,,0,0
2015,Brazil,BRA,Sweden,SWE,8,12,0,,0,0
2015,Brazil,BRA,Switzerland,CHE,11,0,0,,0,0
"2015,Brazil,BRA,""United States of America"",USA,627,2001,0,,0,0"
2016,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
2016,Brazil,BRA,Australia,AUS,5,16,0,,0,0
2016,Brazil,BRA,Canada,CAN,63,49,0,,0,0
"2016,Brazil,BRA,""Costa Rica"",CRI,0,5,0,,0,0"
2016,Brazil,BRA,Finland,FIN,5,0,0,,0,0
2016,Brazil,BRA,France,FRA,12,0,0,,0,0
"2016,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,14,28,0,,0,0"
2016,Brazil,BRA,Germany,DEU,29,26,0,,0,0
2016,Brazil,BRA,Ireland,IRL,0,35,0,,0,0
2016,Brazil,BRA,Italy,ITA,64,82,0,,0,0
"2016,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2016,Brazil,BRA,Panama,PAN,0,5,0,,0,0
2016,Brazil,BRA,Spain,ESP,0,20,0,,0,0
2016,Brazil,BRA,Sweden,SWE,8,0,0,,0,0
2016,Brazil,BRA,Switzerland,CHE,9,5,0,,0,0
"2016,Brazil,BRA,""United States of America"",USA,594,3478,0,,0,0"
2017,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
2017,Brazil,BRA,Australia,AUS,5,27,0,,0,0
2017,Brazil,BRA,Belgium,BEL,0,10,0,,0,0
2017,Brazil,BRA,Canada,CAN,64,378,0,,0,0
"2017,Brazil,BRA,""Costa Rica"",CRI,0,5,0,,0,0"
2017,Brazil,BRA,Ecuador,ECU,5,5,0,,0,0
2017,Brazil,BRA,Finland,FIN,5,0,0,,0,0
2017,Brazil,BRA,France,FRA,12,0,0,,0,0
"2017,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,13,36,0,,0,0"
2017,Brazil,BRA,Germany,DEU,32,15,0,,0,0
2017,Brazil,BRA,Ireland,IRL,0,57,0,,0,0
2017,Brazil,BRA,Italy,ITA,100,117,0,,0,0
2017,Brazil,BRA,Panama,PAN,0,5,0,,0,0
2017,Brazil,BRA,Spain,ESP,0,47,0,,0,0
2017,Brazil,BRA,Sweden,SWE,8,15,0,,0,0
2017,Brazil,BRA,Switzerland,CHE,14,5,0,,0,0
2017,Brazil,BRA,Uruguay,URY,0,5,0,,0,0
"2017,Brazil,BRA,""United States of America"",USA,593,6052,0,,0,0"
2018,Brazil,BRA,Argentina,ARG,0,10,0,,0,0
2018,Brazil,BRA,Australia,AUS,5,54,0,,0,0
2018,Brazil,BRA,Belgium,BEL,0,20,0,,0,0
2018,Brazil,BRA,Canada,CAN,75,392,0,,0,0
2018,Brazil,BRA,Chile,CHL,0,5,0,,0,0
"2018,Brazil,BRA,""Costa Rica"",CRI,0,5,0,,0,0"
2018,Brazil,BRA,Ecuador,ECU,5,10,0,,0,0
2018,Brazil,BRA,Finland,FIN,5,5,0,,0,0
2018,Brazil,BRA,France,FRA,15,0,0,,0,0
"2018,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,16,62,0,,0,0"
2018,Brazil,BRA,Germany,DEU,32,30,0,,0,0
2018,Brazil,BRA,Greece,GRC,0,10,0,,0,0
2018,Brazil,BRA,Ireland,IRL,0,146,0,,0,0
2018,Brazil,BRA,Israel,ISR,0,5,0,,0,0
2018,Brazil,BRA,Italy,ITA,149,203,0,,0,0
"2018,Brazil,BRA,""Rep. of Korea"",KOR,0,5,0,,0,0"
2018,Brazil,BRA,Panama,PAN,0,5,0,,0,0
2018,Brazil,BRA,Peru,PER,5,5,0,,0,0
2018,Brazil,BRA,Portugal,PRT,0,5,0,,0,0
2018,Brazil,BRA,Spain,ESP,0,185,0,,0,0
2018,Brazil,BRA,Sweden,SWE,8,20,0,,0,0
2018,Brazil,BRA,Switzerland,CHE,14,5,0,,0,0
2018,Brazil,BRA,Uruguay,URY,0,10,0,,0,0
"2018,Brazil,BRA,""United States of America"",USA,709,7378,0,,0,0"
2019,Brazil,BRA,Argentina,ARG,0,5,0,,0,0
2019,Brazil,BRA,Australia,AUS,5,118,0,,0,0
2019,Brazil,BRA,Belgium,BEL,8,5,0,,0,0
2019,Brazil,BRA,Canada,CAN,102,515,0,,0,0
"2019,Brazil,BRA,""Costa Rica"",CRI,0,12,0,,0,0"
2019,Brazil,BRA,Ecuador,ECU,5,15,0,,0,0
2019,Brazil,BRA,Finland,FIN,5,0,0,,0,0
2019,Brazil,BRA,France,FRA,23,10,0,,0,0
"2019,Brazil,BRA,""United Kingdom of Great Britain and Northern Ireland"",GBR,28,143,0,,0,0"
2019,Brazil,BRA,Germany,DEU,33,46,0,,0,0
2019,Brazil,BRA,Greece,GRC,0,14,0,,0,0
2019,Brazil,BRA,Ireland,IRL,5,178,0,,0,0
2019,Brazil,BRA,Israel,ISR,0,5,0,,0,0
2019,Brazil,BRA,Italy,ITA,220,154,0,,0,0
"2019,Brazil,BRA,""Rep. of Korea"",KOR,0,10,0,,0,0"
2019,Brazil,BRA,Mexico,MEX,0,543,0,,0,0
"2019,Brazil,BRA,""New Zealand"",NZL,0,5,0,,0,0"
2019,Brazil,BRA,Panama,PAN,0,5,0,,0,0
2019,Brazil,BRA,Paraguay,PRY,0,5,0,,0,0
2019,Brazil,BRA,Peru,PER,5,10,0,,0,0
2019,Brazil,BRA,Portugal,PRT,0,18,0,,0,0
2019,Brazil,BRA,Spain,ESP,14,960,0,,0,0
2019,Brazil,BRA,Sweden,SWE,8,15,0,,0,0
2019,Brazil,BRA,Switzerland,CHE,6,5,0,,0,0
2019,Brazil,BRA,Uruguay,URY,0,14,0,,0,0
"2019,Brazil,BRA,""United States of America"",USA,932,9217,0,,0,0"
